Episode: 281, Reward: -18.0 | Mean reward: -18.02
Episode: 282, Reward: -17.0 | Mean reward: -17.98
Episode: 283, Reward: -18.0 | Mean reward: -17.96
Episode: 284, Reward: -19.0 | Mean reward: -17.94
Episode: 285, Reward: -17.0 | Mean reward: -17.94
Episode: 286, Reward: -15.0 | Mean reward: -17.89
Episode: 287, Reward: -16.0 | Mean reward: -17.85
Episode: 288, Reward: -17.0 | Mean reward: -17.81
Episode: 289, Reward: -16.0 | Mean reward: -17.79
Episode: 290, Reward: -17.0 | Mean reward: -17.76
Episode: 291, Reward: -14.0 | Mean reward: -17.72
Episode: 292, Reward: -19.0 | Mean reward: -17.7
Episode: 293, Reward: -17.0 | Mean reward: -17.7
Episode: 294, Reward: -16.0 | Mean reward: -17.68
Episode: 295, Reward: -15.0 | Mean reward: -17.63
Episode: 296, Reward: -16.0 | Mean reward: -17.6
Episode: 297, Reward: -17.0 | Mean reward: -17.6
Episode: 298, Reward: -15.0 | Mean reward: -17.58
Episode: 299, Reward: -16.0 | Mean reward: -17.54
Episode: 300, Reward: -16.0 | Mean reward: -17.55
Episode: 301, Reward: -18.0 | Mean reward: -17.55
Episode: 302, Reward: -20.0 | Mean reward: -17.56
Episode: 303, Reward: -17.0 | Mean reward: -17.54
Episode: 304, Reward: -19.0 | Mean reward: -17.56
Episode: 305, Reward: -18.0 | Mean reward: -17.54
Episode: 306, Reward: -15.0 | Mean reward: -17.5
Episode: 307, Reward: -19.0 | Mean reward: -17.49
Episode: 308, Reward: -18.0 | Mean reward: -17.51
Episode: 309, Reward: -19.0 | Mean reward: -17.51
Episode: 310, Reward: -15.0 | Mean reward: -17.5
Episode: 311, Reward: -15.0 | Mean reward: -17.46
Episode: 312, Reward: -17.0 | Mean reward: -17.46
Episode: 313, Reward: -17.0 | Mean reward: -17.44
Episode: 314, Reward: -13.0 | Mean reward: -17.37
Episode: 315, Reward: -19.0 | Mean reward: -17.36
Episode: 316, Reward: -17.0 | Mean reward: -17.34
Episode: 317, Reward: -17.0 | Mean reward: -17.33
Episode: 318, Reward: -17.0 | Mean reward: -17.32
Episode: 319, Reward: -17.0 | Mean reward: -17.34
Episode: 320, Reward: -13.0 | Mean reward: -17.28
Episode: 321, Reward: -17.0 | Mean reward: -17.28
Episode: 322, Reward: -09.0 | Mean reward: -17.2
Episode: 323, Reward: -18.0 | Mean reward: -17.22
Episode: 324, Reward: -15.0 | Mean reward: -17.2
Episode: 325, Reward: -17.0 | Mean reward: -17.21
Episode: 326, Reward: -14.0 | Mean reward: -17.18
Episode: 327, Reward: -16.0 | Mean reward: -17.19
Episode: 328, Reward: -20.0 | Mean reward: -17.19
Episode: 329, Reward: -17.0 | Mean reward: -17.21
Episode: 330, Reward: -17.0 | Mean reward: -17.21
Episode: 331, Reward: -19.0 | Mean reward: -17.21
Episode: 332, Reward: -18.0 | Mean reward: -17.22
Episode: 333, Reward: -19.0 | Mean reward: -17.22
Episode: 334, Reward: -12.0 | Mean reward: -17.14
Episode: 335, Reward: -17.0 | Mean reward: -17.11
Episode: 336, Reward: -18.0 | Mean reward: -17.08
Episode: 337, Reward: -15.0 | Mean reward: -17.05
Episode: 338, Reward: -20.0 | Mean reward: -17.08
Episode: 339, Reward: -20.0 | Mean reward: -17.09
Episode: 340, Reward: -17.0 | Mean reward: -17.07
Episode: 341, Reward: -17.0 | Mean reward: -17.06
Episode: 342, Reward: -18.0 | Mean reward: -17.06
Episode: 343, Reward: -19.0 | Mean reward: -17.06
Episode: 344, Reward: -21.0 | Mean reward: -17.1
Episode: 345, Reward: -11.0 | Mean reward: -17.05
Episode: 346, Reward: -18.0 | Mean reward: -17.05
Episode: 347, Reward: -18.0 | Mean reward: -17.06
Episode: 348, Reward: -18.0 | Mean reward: -17.06
Episode: 349, Reward: -16.0 | Mean reward: -17.05
Episode: 350, Reward: -18.0 | Mean reward: -17.05
Episode: 351, Reward: -16.0 | Mean reward: -17.03
Episode: 352, Reward: -17.0 | Mean reward: -17.01
Episode: 353, Reward: -18.0 | Mean reward: -17.01
Episode: 354, Reward: -17.0 | Mean reward: -17.01
Episode: 355, Reward: -17.0 | Mean reward: -16.99
Episode: 356, Reward: -16.0 | Mean reward: -16.98
Episode: 357, Reward: -14.0 | Mean reward: -16.94
Episode: 358, Reward: -17.0 | Mean reward: -16.96
Episode: 359, Reward: -14.0 | Mean reward: -16.91
Episode: 360, Reward: -15.0 | Mean reward: -16.91
Episode: 361, Reward: -18.0 | Mean reward: -16.89
Episode: 362, Reward: -13.0 | Mean reward: -16.83
Episode: 363, Reward: -18.0 | Mean reward: -16.85
Episode: 364, Reward: -15.0 | Mean reward: -16.81
Episode: 365, Reward: -15.0 | Mean reward: -16.81
Episode: 366, Reward: -19.0 | Mean reward: -16.81
Episode: 367, Reward: -16.0 | Mean reward: -16.81
Episode: 368, Reward: -14.0 | Mean reward: -16.75
Episode: 369, Reward: -14.0 | Mean reward: -16.71
Episode: 370, Reward: -19.0 | Mean reward: -16.73
Episode: 371, Reward: -17.0 | Mean reward: -16.7
Episode: 372, Reward: -15.0 | Mean reward: -16.71
Episode: 373, Reward: -15.0 | Mean reward: -16.68
Episode: 374, Reward: -19.0 | Mean reward: -16.7
Episode: 375, Reward: -14.0 | Mean reward: -16.68
Episode: 376, Reward: -16.0 | Mean reward: -16.71
Episode: 377, Reward: -11.0 | Mean reward: -16.65
Episode: 378, Reward: -16.0 | Mean reward: -16.63
Episode: 379, Reward: -16.0 | Mean reward: -16.6
Episode: 380, Reward: -15.0 | Mean reward: -16.56
Episode: 381, Reward: -17.0 | Mean reward: -16.55
Episode: 382, Reward: -16.0 | Mean reward: -16.54
Episode: 383, Reward: -17.0 | Mean reward: -16.53
Episode: 384, Reward: -13.0 | Mean reward: -16.47
Episode: 385, Reward: -18.0 | Mean reward: -16.48
Episode: 386, Reward: -19.0 | Mean reward: -16.52
Episode: 387, Reward: -16.0 | Mean reward: -16.52
Episode: 388, Reward: -16.0 | Mean reward: -16.51
Episode: 389, Reward: -14.0 | Mean reward: -16.49
Episode: 390, Reward: -16.0 | Mean reward: -16.48
Episode: 391, Reward: -14.0 | Mean reward: -16.48
Episode: 392, Reward: -10.0 | Mean reward: -16.39
Episode: 393, Reward: -13.0 | Mean reward: -16.35
Episode: 394, Reward: -18.0 | Mean reward: -16.37
Episode: 395, Reward: -18.0 | Mean reward: -16.4
Episode: 396, Reward: -13.0 | Mean reward: -16.37
Episode: 397, Reward: -13.0 | Mean reward: -16.33
Episode: 398, Reward: -09.0 | Mean reward: -16.27
Episode: 399, Reward: -16.0 | Mean reward: -16.27
Episode: 400, Reward: -17.0 | Mean reward: -16.28
Episode: 401, Reward: -13.0 | Mean reward: -16.23
Episode: 402, Reward: -14.0 | Mean reward: -16.17
Episode: 403, Reward: -19.0 | Mean reward: -16.19
Episode: 404, Reward: -15.0 | Mean reward: -16.15
Episode: 405, Reward: -11.0 | Mean reward: -16.08
Episode: 406, Reward: -17.0 | Mean reward: -16.1
Episode: 407, Reward: -16.0 | Mean reward: -16.07
Episode: 408, Reward: -17.0 | Mean reward: -16.06
Episode: 409, Reward: -15.0 | Mean reward: -16.02
Episode: 410, Reward: -18.0 | Mean reward: -16.05
Episode: 411, Reward: -15.0 | Mean reward: -16.05
Episode: 412, Reward: -19.0 | Mean reward: -16.07
Episode: 413, Reward: -13.0 | Mean reward: -16.03
Episode: 414, Reward: -19.0 | Mean reward: -16.09
Episode: 415, Reward: -17.0 | Mean reward: -16.07
Episode: 416, Reward: -14.0 | Mean reward: -16.04
Episode: 417, Reward: -16.0 | Mean reward: -16.03
Episode: 418, Reward: -15.0 | Mean reward: -16.01
Episode: 419, Reward: -15.0 | Mean reward: -15.99
Episode: 420, Reward: -16.0 | Mean reward: -16.02
Episode: 421, Reward: -13.0 | Mean reward: -15.98
Episode: 422, Reward: -17.0 | Mean reward: -16.06
Episode: 423, Reward: -18.0 | Mean reward: -16.06
Episode: 424, Reward: -18.0 | Mean reward: -16.09
Episode: 425, Reward: -12.0 | Mean reward: -16.04
Episode: 426, Reward: -20.0 | Mean reward: -16.1
Episode: 427, Reward: -19.0 | Mean reward: -16.13
Episode: 428, Reward: -14.0 | Mean reward: -16.07
Episode: 429, Reward: -13.0 | Mean reward: -16.03
Episode: 430, Reward: -14.0 | Mean reward: -16.0
Episode: 431, Reward: -08.0 | Mean reward: -15.89
Episode: 432, Reward: -18.0 | Mean reward: -15.89
Episode: 433, Reward: -17.0 | Mean reward: -15.87
Episode: 434, Reward: -16.0 | Mean reward: -15.91
Episode: 435, Reward: -19.0 | Mean reward: -15.93
Episode: 436, Reward: -16.0 | Mean reward: -15.91
Episode: 437, Reward: -17.0 | Mean reward: -15.93
Episode: 438, Reward: -13.0 | Mean reward: -15.86
Episode: 439, Reward: -17.0 | Mean reward: -15.83
Episode: 440, Reward: -16.0 | Mean reward: -15.82
Episode: 441, Reward: -14.0 | Mean reward: -15.79
Episode: 442, Reward: -14.0 | Mean reward: -15.75
Episode: 443, Reward: -16.0 | Mean reward: -15.72
Episode: 444, Reward: -17.0 | Mean reward: -15.68
Episode: 445, Reward: -13.0 | Mean reward: -15.7
Episode: 446, Reward: -18.0 | Mean reward: -15.7
Episode: 447, Reward: -16.0 | Mean reward: -15.68
Episode: 448, Reward: -10.0 | Mean reward: -15.6
Episode: 449, Reward: -15.0 | Mean reward: -15.59
Episode: 450, Reward: -13.0 | Mean reward: -15.54
Episode: 451, Reward: -13.0 | Mean reward: -15.51
Episode: 452, Reward: -17.0 | Mean reward: -15.51
Episode: 453, Reward: -14.0 | Mean reward: -15.47
Episode: 454, Reward: -13.0 | Mean reward: -15.43
Episode: 455, Reward: -07.0 | Mean reward: -15.33
Episode: 456, Reward: -15.0 | Mean reward: -15.32
Episode: 457, Reward: -19.0 | Mean reward: -15.37
Episode: 458, Reward: -15.0 | Mean reward: -15.35
Episode: 459, Reward: -14.0 | Mean reward: -15.35
